📅 [2020.04.14] | SMA:  1.60 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  1.50
📅 [2020.04.15] | SMA:  1.60 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL:  0.50
📅 [2020.04.16] | SMA:  1.60 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  1.50
📅 [2020.04.17] | SMA:  1.60 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  1.50
📅 [2020.04.20] | SMA:  1.60 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL:  1.50
📅 [2020.04.21] | SMA:  1.49 | BB:  0.12 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.61
📅 [2020.04.22] | SMA:  1.23 | BB:  0.41 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.64
📅 [2020.04.23] | SMA:  0.81 | BB:  0.21 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.02
📅 [2020.04.24] | SMA:  0.52 | BB:  0.62 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.14
📅 [2020.04.27] | SMA:  0.34 | BB:  0.71 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.05
📅 [2020.04.28] | SMA:  0.47 | BB:  0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.04
📅 [2020.04.29] | SMA:  0.49 | BB:  0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL:  0.32
📅 [2020.04.30] | SMA:  0.47 | BB:  0.28 | RSI:  0.00 | VOL: -0.31 | TOTAL:  0.45
📅 [2020.05.01] | SMA:  0.26 | BB: -0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.30
☠️ [데드크로스] slope: -0.00087 | score: -0.51
📅 [2020.05.04] | SMA: -0.51 | BB: -0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.34
📅 [2020.05.05] | SMA: -0.18 | BB: -0.64 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.82
📅 [2020.05.06] | SMA: -0.47 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -2.37
📅 [2020.05.07] | SMA: -0.53 | BB: -0.28 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.80
📅 [2020.05.08] | SMA: -0.32 | BB:  0.66 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.66
📅 [2020.05.11] | SMA: -0.12 | BB:  0.59 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.54
