📅 [2020.06.10] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.06.11] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2020.06.12] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  0.19 | TOTAL: -0.71
📅 [2020.06.15] | SMA:  0.00 | BB:  0.10 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.10
📅 [2020.06.16] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.06.17] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  0.10
📅 [2020.06.18] | SMA:  0.00 | BB:  0.42 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.42
📅 [2020.06.19] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.06.22] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.06.23] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.06.24] | SMA:  0.00 | BB:  0.64 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.64
📅 [2020.06.25] | SMA:  0.00 | BB:  0.67 | RSI:  0.00 | VOL:  0.66 | TOTAL:  1.33
📅 [2020.06.26] | SMA:  0.00 | BB:  0.37 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.37
📅 [2020.06.29] | SMA:  0.00 | BB:  0.75 | RSI:  0.00 | VOL: -0.74 | TOTAL:  0.01
📅 [2020.06.30] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  1.00 | TOTAL:  1.90
📅 [2020.07.01] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL:  0.85 | TOTAL:  1.75
📅 [2020.07.02] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.76 | TOTAL:  0.14
📅 [2020.07.06] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -0.94 | TOTAL: -0.04
📅 [2020.07.07] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.07.08] | SMA:  0.00 | BB:  0.90 | RSI: -2.00 | VOL: -1.00 | TOTAL: -2.10
📅 [2020.07.09] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.07.10] | SMA:  0.00 | BB:  0.90 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.10
📅 [2020.07.13] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.07.14] | SMA:  0.00 | BB:  0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.10
📅 [2020.07.15] | SMA:  0.00 | BB:  0.79 | RSI: -1.00 | VOL: -1.00 | TOTAL: -1.21
📅 [2020.07.16] | SMA:  0.00 | BB:  0.23 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.77
📅 [2020.07.17] | SMA:  0.00 | BB: -0.56 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.56
📅 [2020.07.20] | SMA:  0.00 | BB: -0.21 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.21
📅 [2020.07.21] | SMA:  0.00 | BB:  0.19 | RSI:  0.00 | VOL: -1.00 | TOTAL: -0.81
📅 [2020.07.22] | SMA:  0.00 | BB:  0.23 | RSI:  0.00 | VOL: -0.47 | TOTAL: -0.24
📅 [2020.07.23] | SMA:  0.00 | BB: -0.06 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.06
📅 [2020.07.24] | SMA:  0.00 | BB: -0.24 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.24
📅 [2020.07.27] | SMA:  0.00 | BB: -0.71 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.71
📅 [2020.07.28] | SMA:  0.00 | BB: -0.81 | RSI:  0.00 | VOL: -0.31 | TOTAL: -1.12
📅 [2020.07.29] | SMA:  0.00 | BB: -0.44 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.44
📅 [2020.07.30] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.90
📅 [2020.07.31] | SMA:  0.00 | BB: -0.73 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.73
📅 [2020.08.03] | SMA:  0.00 | BB: -0.03 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.03
📅 [2020.08.04] | SMA:  0.00 | BB:  0.00 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.00
📅 [2020.08.05] | SMA:  0.00 | BB: -0.58 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.58
📅 [2020.08.06] | SMA:  0.00 | BB: -0.81 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.81
📅 [2020.08.07] | SMA:  0.00 | BB: -0.83 | RSI:  0.00 | VOL: -1.00 | TOTAL: -1.83
📅 [2020.08.10] | SMA:  0.00 | BB: -0.90 | RSI:  0.00 | VOL: -0.18 | TOTAL: -1.08
📅 [2020.08.11] | SMA:  0.00 | BB: -0.90 | RSI:  1.00 | VOL: -1.00 | TOTAL: -0.90
